"","Well","Sample","Target","Concentration","CopiesPer20uLWell","Positives","Negatives","AcceptedDroplets","Threshold","Run"
"1974","B04","EB_6/14/22","STHD",0,0,0,12441,12441,4500,15
"1975","B05","EB_6/14/22","STHD",0,0,0,12114,12114,4500,15
"1976","B06","EB_6/14/22","STHD",0,0,0,14065,14065,4500,15
"1977","C04","EB_6/20/22","STHD",0,0,0,10406,10406,4500,15
"1978","C05","EB_6/20/22","STHD",0,0,0,10936,10936,4500,15
"1979","C06","EB_6/20/22","STHD",0,0,0,14621,14621,4500,15
"1980","D04","EB_6/22/22","STHD",0,0,0,15344,15344,4500,15
"1981","D05","EB_6/22/22","STHD",0,0,0,13223,13223,4500,15
"1982","D06","EB_6/22/22","STHD",0,0,0,12876,12876,4500,15
"1983","E04","EB_6/23/22","STHD",0,0,0,15113,15113,4500,15
"1984","E05","EB_6/23/22","STHD",0,0,0,13858,13858,4500,15
"1985","E06","EB_6/23/22","STHD",0,0,0,14539,14539,4500,15
"1986","F04","EB_6/27/22","STHD",0,0,0,13091,13091,4500,15
"1987","F05","EB_6/27/22","STHD",0,0,0,13923,13923,4500,15
"1988","F06","EB_6/27/22","STHD",0,0,0,13583,13583,4500,15
"1989","G04","EB_7/5/22","STHD",0,0,0,13948,13948,4500,15
"1990","G05","EB_7/5/22","STHD",0,0,0,14656,14656,4500,15
"1991","G06","EB_7/5/22","STHD",0,0,0,14569,14569,4500,15
"1992","H04","EB_7/5/22","STHD",0,0,0,14085,14085,4500,15
"1993","H05","EB_7/5/22","STHD",0,0,0,13134,13134,4500,15
"1994","H06","EB_7/5/22","STHD",0,0,0,15016,15016,4500,15
"1995","A07","EB_7/8/22","STHD",0,0,0,14565,14565,4500,15
"1996","B07","EB_7/8/22","STHD",0,0,0,13531,13531,4500,15
"1997","C07","EB_7/8/22","STHD",0,0,0,15228,15228,4500,15
"1998","A08","EB_7/18/22","STHD",0,0,0,7353,7353,4500,15
"1999","B08","EB_7/18/22","STHD",0,0,0,9629,9629,4500,15
"2000","C08","EB_7/18/22","STHD",0,0,0,8794,8794,4500,15
"2001","D07","Positive_CTL","STHD",70.6,1412,793,12829,13622,4500,15
"2002","D08","Positive_CTL","STHD",64,1280,452,8097,8549,4500,15
"2003","E07","Negative_CTL","STHD",0,0,0,14291,14291,4500,15
"2004","E08","Negative_CTL","STHD",0,0,0,9456,9456,4500,15
"2005","F07","Negative_CTL","STHD",0,0,0,14243,14243,4500,15
"2006","F08","Negative_CTL","STHD",0,0,0,10369,10369,4500,15
"2007","G07","Negative_CTL","STHD",0,0,0,14924,14924,4500,15
"2008","G08","Negative_CTL","STHD",0,0,0,10840,10840,4500,15
"2009","H07","Negative_CTL","STHD",0,0,0,14391,14391,4500,15
"2010","H08","Negative_CTL","STHD",0,0,0,11295,11295,4500,15
"2038","D04","Positive_CTL","CARP",96,1920,1168,13746,14914,7000,16
"2039","E04","Positive_CTL","CARP",61.6,1232,721,13419,14140,7000,16
"2040","F04","Negative_CTL","CARP",0,0,0,13587,13587,7000,16
"2041","G04","Negative_CTL","CARP",0,0,0,13523,13523,7000,16
"2042","H04","Negative_CTL","CARP",0,0,0,10715,10715,7000,16
"2070","D04","Positive_CTL","STHD",76.8,1536,942,13972,14914,4500,16
"2071","E04","Positive_CTL","STHD",70,1400,817,13323,14140,4500,16
"2072","F04","Negative_CTL","STHD",0,0,0,13587,13587,4500,16
"2073","G04","Negative_CTL","STHD",0,0,0,13523,13523,4500,16
"2074","H04","Negative_CTL","STHD",0,0,0,10715,10715,4500,16
"2079","C01","Negative_CTL","CARP",0,0,0,11719,11719,7000,17
"2080","C02","Negative_CTL","CARP",0,0,0,16133,16133,7000,17
"2081","D01","Negative_CTL","CARP",0,0,0,13269,13269,7000,17
"2082","D02","Negative_CTL","CARP",0,0,0,13744,13744,7000,17
"2101","F03","Negative_CTL","CARP",0,0,0,11307,11307,7000,17
"2102","F04","Negative_CTL","CARP",0,0,0,13620,13620,7000,17
"2103","G03","Negative_CTL","CARP",0,0,0,12404,12404,7000,17
"2104","G04","Negative_CTL","CARP",0,0,0,13358,13358,7000,17
"2105","H03","Positive_CTL","CARP",58.7,1174,650,12695,13345,7000,17
"2106","H04","Positive_CTL","CARP",60.2,1204,600,11419,12019,7000,17
"2111","C01","Negative_CTL","STHD",0,0,0,11719,11719,4500,17
"2112","C02","Negative_CTL","STHD",0,0,0,16133,16133,4500,17
"2113","D01","Negative_CTL","STHD",0,0,0,13269,13269,4500,17
"2114","D02","Negative_CTL","STHD",0,0,0,13744,13744,4500,17
"2133","F03","Negative_CTL","STHD",0,0,0,11307,11307,4500,17
"2134","F04","Negative_CTL","STHD",0,0,0,13620,13620,4500,17
"2135","G03","Negative_CTL","STHD",0,0,0,12404,12404,4500,17
"2136","G04","Negative_CTL","STHD",0,0,0,13358,13358,4500,17
"2137","H03","Positive_CTL","STHD",63.3,1266,699,12646,13345,4500,17
"2138","H04","Positive_CTL","STHD",65,1300,644,11375,12019,4500,17
"2187","A07","Positive_CTL","CARP",41.8,836,397,10967,11364,7000,18
"2188","B07","Positive_CTL","CARP",0,0,0,9096,9096,7000,18
"2189","C07","Negative_CTL","CARP",0,0,0,9063,9063,7000,18
"2190","D07","Negative_CTL","CARP",0,0,0,9840,9840,7000,18
"2191","E07","Negative_CTL","CARP",0,0,0,15041,15041,7000,18
"2192","F07","Negative_CTL","CARP",0.11,2.2,1,10231,10232,7000,18
"2193","G07","Negative_CTL","CARP",0,0,0,13843,13843,7000,18
"2194","H07","Negative_CTL","CARP",0,0,0,11953,11953,7000,18
"2243","A07","Positive_CTL","STHD",259,5180,2242,9122,11364,4500,18
"2244","B07","Positive_CTL","STHD",0,0,0,9096,9096,4500,18
"2245","C07","Negative_CTL","STHD",0,0,0,9063,9063,4500,18
"2246","D07","Negative_CTL","STHD",0,0,0,9840,9840,4500,18
"2247","E07","Negative_CTL","STHD",0,0,0,15041,15041,4500,18
"2248","F07","Negative_CTL","STHD",0.11,2.2,1,10231,10232,4500,18
"2249","G07","Negative_CTL","STHD",0,0,0,13843,13843,4500,18
"2250","H07","Negative_CTL","STHD",0,0,0,11953,11953,4500,18
